nama_pemda,tahun,pendapatan_total,belanja_total,blj_tdk_langsung,blj_pegawai,blj_hibah,blj_bansos,blj_bagi_hasil,blj_bantuan_keu,blj_tdk_terduga,blj_langsung,blj_barang_jasa,blj_modal,pembiayaan,rasio_pegawai_pct,rasio_modal_pct,rasio_barang_jasa_pct,rasio_bansos_pct,rasio_hibah_pct,rasio_bantuan_keu_pct,ipm,tpt,kemiskinan_pct,pdrb_per_kapita,ipm_lag1,kemiskinan_lag1,delta_ipm,delta_kemiskinan,belanja_per_pdrb,klaster
Kab. Sidoarjo,2016,3668.041524401,3651.617165087,2020.298165087,1408.07,132.101,46.763307,429.297,1.212936674,2.853921413,1631.319,821.321,809.998,567.569061609,38.56,22.18,22.49,1.28,3.62,0.03,77.87,7.24,6.27,78130,77.43,6.44,0.44,-0.17,46737.7085,0
Kab. Sidoarjo,2017,4045.685362113,3748.313122059,2036.794548539,1264.759726622,145.911030742,47.732025,101.32145116,476.197488481,0.872826534,1711.51857352,1018.408325491,565.233558275,585.678501522,33.74,15.08,27.17,1.27,3.89,12.7,78.47,7.03,5.93,86316,77.87,6.27,0.6,-0.34,43425.4729,0
Kab. Sidoarjo,2018,4332.57798476801,4188.5378109111,2177.92745915416,1419.77809776916,189.370311602,57.659202664,511.119847119,0.0,0.0,2010.61035175694,1200.04520342436,810.56514833258,884.17783576337,33.9,19.35,28.65,1.38,4.52,0.0,78.9,7.3,5.72,95466,78.47,5.93,0.43,-0.21,43874.655,0
Kab. Situbondo,2014,1359.193724048,1305.647017406,745.889403146,682.56834581,19.254915,5.25778,0.0,37.043573336,1.764789,559.75761426,234.704576637,325.053037623,75.409804986,52.28,24.9,17.98,0.4,1.47,2.84,62.75,1.95,11.64,18283,62.06,12.36,0.69,-0.72,71413.1717,1
Kab. Situbondo,2015,1520.359975572,1480.028872079,891.075739752,708.70069019,40.7430208,5.79214,2.147725,133.671163762,0.021,588.953132327,248.26995897,340.683173357,342.023628261,47.88,23.02,16.77,0.39,2.75,9.03,63.34,2.18,11.63,20101,62.75,11.64,0.59,-0.01,73629.6141,1
Kab. Situbondo,2016,1580.582522333,1659.810308,955.812308,747.09,21.802863,0.6092,2.298245,184.012,0.0,703.998,287.134,416.864,191.406697066,45.01,25.12,17.3,0.04,1.31,11.09,64.06,1.85,11.46,22123,63.34,11.63,0.72,-0.17,75026.457,1
Kab. Situbondo,2017,1620.456354002,1611.319203889,945.199238253,696.34448813,31.224614,7.28,2.506981,207.518974893,0.32418023,666.119965636,320.737549618,345.382416018,111.173842457,43.22,21.43,19.91,0.45,1.94,12.88,64.59,1.88,10.53,24461,64.06,11.46,0.53,-0.93,65872.9898,1
Kab. Situbondo,2018,1755.58729920504,1730.46459300147,996.80901636908,732.451792589,41.86675128708,7.9225019,2.92847,210.068095493,1.5714051,666.119965636,335.21120118542,398.44437544697,119.94890586319,42.33,23.03,19.37,0.46,2.42,12.14,65.11,2.02,10.27,27134,64.59,10.53,0.52,-0.26,63774.7694,1
Kab. Sumenep,2014,1647.36222772,1607.328844636,1090.276008095,883.891037228,116.662694907,3.82055,0.0,83.97935496,1.922371,517.052836541,239.267478309,277.785358232,235.70134309,54.99,17.28,14.89,0.24,7.26,5.22,59.74,2.04,20.41,17892,58.97,21.12,0.77,-0.71,89835.0573,1
Kab. Sumenep,2015,1952.700349516,1958.131572634,1250.082405898,882.378406236,116.290056573,12.78434,0.0,237.648564089,0.981039,708.049166736,287.172293105,370.141331155,588.003161745,45.06,18.9,14.67,0.65,5.94,12.14,60.71,2.25,20.17,19420,59.74,20.41,0.97,-0.24,100830.668,1
Kab. Sumenep,2016,2059.565624586,2048.692355383,1345.6341006,921.858,40.1579308,15.73663,0.0,366.505,1.3765398,703.058254783,370.177,272.015,278.786,45.0,13.28,18.07,0.77,1.96,17.89,61.63,1.93,19.96,21118,60.71,20.17,0.92,-0.21,97011.6657,1
Kab. Sumenep,2017,2160.989531868,2059.630836386,1385.317456188,908.571226255,39.6904146,9.62444,0.0,426.053446148,1.377929185,674.313380198,382.428715627,291.884664571,302.913720555,44.11,14.17,18.57,0.47,1.93,20.69,62.25,1.95,19.16,23001,61.63,19.96,0.62,-0.8,89545.2735,1
Kab. Sumenep,2018,2243.98956875429,2059.630836386,1385.317456188,905.00048800568,49.135175,14.76895,0.0,427.410774317,1.759872,752.2770297765401,398.56529478799,353.71173498855,417.42106596262,43.94,17.17,19.35,0.72,2.39,20.75,63.11,2.09,18.42,25207,62.25,19.16,0.86,-0.74,81708.6855,1
Kab. Trenggalek,2014,1498.350372382,1372.622453315,944.295426106,827.937453201,45.162390517,7.3314825,7.046547506,56.480059782,0.0,428.327027209,147.364657355,280.962369854,112.182662893,60.32,20.47,10.74,0.53,3.29,4.11,66.08,2.64,13.61,15830,65.27,14.1,0.81,-0.49,86710.1992,1
Kab. Trenggalek,2015,1545.25214734,1552.970281991,1012.656506267,808.359366775,52.918804619,4.3362397,6.442024244,140.600070929,0.0,540.313775724,213.177066265,327.136709459,475.033489101,52.05,21.07,13.73,0.28,3.41,9.05,66.72,2.91,13.56,17332,66.08,13.61,0.64,-0.05,89601.3318,1
Kab. Trenggalek,2016,1632.639200188,1514.164411265,863.769411265,825.606,24.990553314,6.016137,7.137220951,0.0,0.0195,650.395,287.555,362.84,230.86081474,54.53,23.96,18.99,0.4,1.65,0.0,67.32,2.27,12.98,18986,66.72,13.56,0.6,-0.58,79751.6281,1
Kab. Trenggalek,2017,1791.691906785,1759.709021297,1017.210473839,724.723034082,43.189146695,12.7614426,7.051341895,227.705784178,1.779724389,742.498547458,389.899596757,352.598950701,142.704117882,41.18,20.04,22.16,0.73,2.45,12.94,67.95,2.41,12.35,20934,67.32,12.98,0.63,-0.63,84059.8558,1
Kab. Trenggalek,2018,1824.35968051027,1759.709021297,1124.6137011025,823.8986485565,41.123682103,14.35167045,7.351080115,237.372538878,0.516081,621.84446254237,310.42340352745003,311.42105901492,162.37877099744,46.82,17.7,17.64,0.82,2.34,13.49,68.47,2.65,11.96,23215,67.95,12.35,0.52,-0.39,75800.5178,1
Kab. Tuban,2014,1823.513656641,1768.024608472,1146.587728554,926.348580147,102.065431594,38.7409482,78.9546241,0.471924963,0.00621955,621.436879918,259.034642991,362.402236927,194.942906146,52.39,20.5,14.65,2.19,5.77,0.03,64.19,3.55,16.27,37986,63.39,16.95,0.8,-0.68,46544.1112,1
Kab. Tuban,2015,2017.855147214,1998.111557092,1341.200578394,947.885746241,153.579987387,26.5284059,211.88964372,0.459877825,0.856917321,656.910978698,270.255320949,386.655657749,568.294082831,47.44,19.35,13.53,1.33,7.69,0.02,65.04,3.82,16.18,41679,64.19,16.27,0.85,-0.09,47940.487,1
Kab. Tuban,2016,2183.545585606,2219.078728833,1437.767728833,976.17,104.215,19.80854225,18.022134184,315.089,4.463052399,781.311,317.131,464.18,293.728305335,43.99,20.92,14.29,0.89,4.7,14.2,65.69,3.4,15.67,45759,65.04,16.18,0.65,-0.51,48494.9131,1
Kab. Tuban,2017,2376.526696431,2366.556522223,1382.702303363,849.070830213,115.920832517,31.2524155,20.1804251,366.264276023,0.01352401,983.85421886,486.444884345,497.409334515,265.480664126,35.88,21.02,20.55,1.32,4.9,15.48,66.37,3.38,15.02,50586,65.69,15.67,0.68,-0.65,46782.8356,1
